english,japanese
lose,失う、負ける
pay,支払う
meet,会う
include,含む
continue,続ける
set,置く、設定する
learn,学ぶ
change,変える、変わる
lead,導く、率いる
understand,理解する
watch,（じっと）見る
follow,後についていく
stop,止める、止まる
create,創造する
speak,話す
read,読む
allow,許す
add,加える
spend,費やす、過ごす
grow,育つ、成長する
open,開ける
walk,歩く
win,勝つ
offer,提供する、申し出る
remember,思い出す、覚えている
love,愛する
consider,よく考える
appear,現れる
buy,買う
wait,待つ
serve,仕える、食事を出す
die,死ぬ
send,送る
expect,期待する
build,建てる
stay,滞在する
fall,落ちる
cut,切る
reach,着く、達する
kill,殺す
remain,残る
suggest,提案する
raise,上げる、育てる
pass,通り過ぎる、合格する
sell,売る
require,要求する
report,報告する
decide,決める
pull,引く
break,壊す
dance,踊る
drive,運転する
eat,食べる
enjoy,楽しむ
explain,説明する
fly,飛ぶ
forget,忘れる
guess,推測する
hope,望む
invite,招待する
join,参加する
jump,跳ぶ
laugh,笑う
listen,聞く
marry,結婚する
open,開く
practice,練習する
push,押す
sing,歌う
sleep,眠る
smile,微笑む
study,勉強する
swim,泳ぐ
teach,教える
visit,訪れる
wash,洗う
wear,着ている
worry,心配する
